RA,ANO,FASE,PEDRA,INDE,IAA,IEG,IPS,IDA,IPV,IAN,DEFASAGEM,GENERO,IDADE,ANO_INGRESSO,PONTO_VIRADA,IPP
RA-1,2022,7,QUARTZO,5.783,8.3,4.1,5.6,4.0,7.278,5.0,-1,Feminino,19,2016,Não,7.4020833334
RA-2,2022,7,AMETISTA,7.055,8.8,5.2,6.3,6.8,6.778,10.0,0,Feminino,17,2017,Não,7.416666666599999
RA-3,2022,7,AGATA,6.591,0.0,7.9,5.6,5.6,7.556,10.0,0,Feminino,17,2016,Não,7.4
RA-4,2022,7,QUARTZO,5.951,8.8,4.5,5.6,5.0,5.278,10.0,0,Masculino,17,2017,Não,7.2770833334
RA-5,2022,7,AMETISTA,7.427,7.9,8.6,5.6,5.2,7.389,10.0,0,Feminino,17,2016,Não,7.53125
RA-6,2022,7,QUARTZO,5.848,7.9,4.5,7.5,3.3,7.222,5.0,-1,Feminino,18,2021,Não,7.45
RA-7,2022,7,AGATA,6.818,0.0,8.4,7.5,7.6,7.667,5.0,-1,Masculino,18,2017,Não,7.2916666668
RA-8,2022,7,QUARTZO,4.786,7.1,4.6,6.3,1.6,6.278,5.0,-1,Feminino,20,2018,Não,5.81875
RA-9,2022,7,TOPAZIO,8.109,8.8,9.5,7.5,6.7,9.5,5.0,-1,Feminino,18,2019,Sim,7.6875
RA-10,2022,7,QUARTZO,5.784,8.3,5.2,5.0,4.1,7.056,5.0,-1,Feminino,18,2021,Não,6.479166666599999
RA-11,2022,7,QUARTZO,5.323,9.2,4.2,5.0,3.0,6.389,5.0,-1,Feminino,18,2016,Não,7.0145833334
RA-12,2022,7,QUARTZO,4.832,0.0,4.0,6.9,1.5,6.389,10.0,0,Feminino,17,2020,Não,6.5979166666
RA-13,2022,7,AGATA,6.902,7.9,7.4,7.5,4.7,8.056,5.0,-1,Masculino,18,2016,Não,7.0625
RA-14,2022,7,AGATA,6.793,7.9,8.3,7.5,4.0,7.75,5.0,-1,Masculino,21,2022,Não,7.458333333400001
RA-15,2022,7,AMETISTA,7.783,8.8,10.0,7.5,7.3,7.292,5.0,-1,Masculino,18,2022,Não,7.9229166666
RA-16,2022,7,AGATA,6.112,7.9,8.3,5.0,3.5,6.333,5.0,-1,Masculino,19,2022,Não,7.15625
RA-17,2022,7,TOPAZIO,8.068,8.8,10.0,7.5,7.8,8.292,5.0,-1,Masculino,20,2022,Não,7.9375
RA-18,2022,7,AMETISTA,7.226,6.3,8.7,6.3,9.0,6.875,5.0,-1,Masculino,19,2022,Não,8.1291666666
RA-19,2022,7,AMETISTA,7.665,7.9,9.5,7.5,8.0,7.0,5.0,-1,Feminino,19,2022,Não,7.9166666668
RA-20,2022,7,AMETISTA,7.535,7.1,10.0,6.3,7.8,7.167,5.0,-1,Feminino,19,2022,Não,8.6770833334
RA-21,2022,7,AGATA,6.945,9.6,9.2,7.5,3.8,7.25,5.0,-1,Masculino,18,2022,Não,7.6416666666
RA-22,2022,6,AMETISTA,7.474,8.3,7.4,8.1,6.7,8.833,5.0,-1,Feminino,17,2019,Sim,6.71875
RA-23,2022,6,AMETISTA,7.677,8.3,8.2,8.1,6.7,8.556,5.0,-1,Masculino,17,2021,Sim,8.0229166668
RA-24,2022,6,TOPAZIO,8.087,9.2,7.9,6.9,8.6,9.111,5.0,-1,Feminino,17,2021,Sim,7.5625
RA-25,2022,6,AMETISTA,7.979,8.3,8.3,8.8,6.9,9.667,5.0,-1,Feminino,17,2021,Sim,8.1875
RA-26,2022,6,TOPAZIO,8.677,9.6,8.8,10.0,8.0,10.0,5.0,-1,Masculino,17,2022,Sim,7.947916666599999
RA-27,2022,6,AMETISTA,7.124,0.0,7.6,8.1,8.0,9.111,5.0,-1,Masculino,17,2016,Sim,8.0
RA-28,2022,6,AGATA,6.242,7.9,6.1,7.5,5.0,6.333,5.0,-1,Feminino,17,2019,Não,7.46875
RA-29,2022,6,QUARTZO,4.985,0.0,4.0,8.8,3.7,7.611,5.0,-1,Masculino,17,2022,Não,6.6875
RA-30,2022,6,AMETISTA,7.605,8.8,6.4,7.5,7.5,7.333,10.0,0,Feminino,16,2021,Não,7.3
RA-31,2022,6,TOPAZIO,8.843,10.0,9.5,9.4,8.0,10.0,5.0,-1,Feminino,17,2019,Sim,8.46875
RA-32,2022,6,AMETISTA,7.37,8.8,5.2,8.8,6.1,7.944,10.0,0,Feminino,16,2018,Não,7.2479166666
RA-33,2022,6,QUARTZO,4.952,0.0,4.6,7.5,4.8,6.0,5.0,-1,Feminino,17,2020,Não,5.6875
RA-34,2022,6,AGATA,6.259,9.6,4.8,8.1,3.8,7.278,5.0,-1,Masculino,17,2016,Não,7.4520833334
RA-35,2022,6,TOPAZIO,8.965,10.0,9.6,9.4,8.5,10.0,5.0,-1,Feminino,17,2019,Sim,8.71875
RA-36,2022,6,AMETISTA,7.876,9.2,9.0,6.9,6.8,8.944,5.0,-1,Feminino,17,2019,Sim,7.59375
RA-37,2022,6,QUARTZO,4.95,0.0,5.4,5.0,5.9,5.222,5.0,-1,Feminino,17,2019,Não,6.354166666599999
RA-38,2022,6,TOPAZIO,8.523,9.2,8.9,7.5,8.6,9.833,5.0,-1,Feminino,17,2017,Sim,8.270833333199999
RA-39,2022,6,AGATA,6.033,0.0,4.8,6.9,6.9,6.111,10.0,0,Feminino,16,2017,Não,7.833333333400001
RA-40,2022,5,AMETISTA,7.203,7.9,7.8,7.5,6.8,7.75,5.0,-1,Feminino,16,2016,Não,7.28125
RA-41,2022,5,QUARTZO,5.581,9.2,6.1,5.0,5.6,4.375,5.0,-2,Masculino,17,2018,Não,6.8166666666
RA-42,2022,5,AGATA,6.72,8.3,7.9,5.6,4.8,6.083,10.0,0,Masculino,15,2019,Não,7.40625
RA-43,2022,5,QUARTZO,5.486,6.3,6.5,5.6,4.3,5.958,5.0,-1,Feminino,16,2019,Não,7.2
RA-44,2022,5,QUARTZO,5.542,5.0,5.9,7.5,3.0,7.292,5.0,-2,Feminino,17,2021,Não,7.010416666599999
RA-45,2022,5,AMETISTA,7.591,7.9,8.9,5.6,6.8,7.417,10.0,0,Feminino,15,2019,Não,7.6479166666
RA-46,2022,5,AGATA,6.048,8.8,8.4,6.3,2.1,7.083,5.0,-2,Feminino,17,2022,Não,6.3437499998
RA-47,2022,5,QUARTZO,5.677,7.9,6.3,7.5,2.1,7.042,5.0,-2,Feminino,17,2022,Não,7.479166666599999
RA-48,2022,5,AMETISTA,8.006,6.7,8.4,7.5,8.1,8.5,10.0,0,Feminino,15,2017,Sim,7.75
RA-49,2022,5,AGATA,6.304,7.5,7.4,7.5,3.9,7.042,5.0,-2,Feminino,17,2022,Não,7.4208333334
RA-50,2022,5,AMETISTA,7.138,7.5,8.4,7.5,7.8,7.542,2.5,-3,Feminino,18,2022,Não,7.833333333400001
